passport_number,currency,amount,term_months,monthly_payment,loan_status,interest_rate
1234567890,RUB,500000.00,60,9854.17,ACTIVE,18.25
1234567890,EUR,8000.00,24,395.57,CLOSED,18.67
9876543210,USD,15000.00,36,493.04,ACTIVE,18.33
9876543210,RUB,300000.00,48,7411.88,DRAFT,18.59
4567891234,RUB,450000.00,72,7388.13,ACTIVE,18.21
4567891234,EUR,10000.00,36,329.53,OVERDUE,18.63
7891234567,RUB,250000.00,36,8217.36,ACTIVE,18.33
7891234567,USD,8000.00,24,395.57,OVERDUE,18.67
3216549873,RUB,600000.00,84,8440.71,ACTIVE,18.17
3216549873,EUR,15000.00,48,370.59,ACTIVE,18.59
6549873210,RUB,200000.00,24,9864.17,CLOSED,18.37
6549873210,USD,5000.00,12,494.79,CLOSED,18.75
1472583691,RUB,350000.00,60,6897.92,ACTIVE,18.25
1472583691,RUB,100000.00,12,9895.83,DRAFT,18.75
2583691475,USD,12000.00,36,394.43,ACTIVE,18.33
2583691475,EUR,18000.00,48,444.71,OVERDUE,18.59
3691472582,RUB,750000.00,84,10550.89,ACTIVE,18.17
3691472582,USD,20000.00,48,494.13,DRAFT,18.59
7418529633,RUB,150000.00,36,4930.42,CLOSED,18.33
7418529633,EUR,5000.00,12,494.79,CANCELLED,18.75
8529637414,RUB,400000.00,60,7883.33,ACTIVE,18.25
8529637414,USD,10000.00,24,494.46,DRAFT,18.67
9637418525,RUB,550000.00,72,9029.93,ACTIVE,18.21
9637418525,EUR,12000.00,36,395.43,OVERDUE,18.63
9637418525,RUB,80000.00,12,7916.67,CANCELLED,18.75
